yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	transition_history
1	6.9654045842559791	0.27250552854297194	1.2194574959949314	0.67387787615448791	-2.294883300799802	4432.7726362651429	2.8560518512939415	13956.713160178879	1529.68138884119	614.17403849281959	-0.68594914471987567	-0.087014583820627087	-0.16647401812167481	0	0.071789953055538258	0	0	0	success	non_bfb	success	no_coex_pair	4.0410000000000004	not_set
1	7.6986050668092405	0.27250552854297194	1.2194574959949314	0.7448123894339076	-2.294883300799802	4432.7726362651429	3.1566888882722508	15147.470031506056	1568.7461579809878	655.39747559089506	-0.78502677450712544	-0.086765994627180112	-0.18215675320162006	0	0.079452787881688455	1.1641532182693481e-09	0	0	success	non_bfb	success	no_coex_pair	4.173	not_set
1	6.9654045842559791	0.30119032102117949	1.2194574959949314	0.67387787615448791	-2.076322986437916	4432.7726362651429	2.8560518512939415	12543.056669728785	1217.24533718968	443.67872480962819	-0.50336120606145085	-0.073731739279505451	-0.12314204654202224	0	0.053184847624434171	0	0	0	success	non_bfb	success	no_coex_pair	3.726	not_set
1	7.6986050668092405	0.30119032102117949	1.2194574959949314	0.7448123894339076	-2.076322986437916	4432.7726362651429	3.1566888882722508	13618.281957823321	1268.8302006526173	481.15702309045241	-0.56055130735271397	-0.07350535683946946	-0.13496344511733985	0	0.058679311081204368	0	0	0	success	non_bfb	success	no_coex_pair	4.3070000000000004	not_set
1	6.9654045842559791	0.27250552854297194	1.3478214429417663	0.67387787615448791	-2.294883300799802	4899.3802821877889	2.8560518512939415	14480.552545226998	1734.1181168729147	711.20707764694544	-0.76165507428302226	-0.091375446620340958	-0.1784752079913767	0	0.083338647415760261	0	0	0	success	non_bfb	success	no_coex_pair	4.1529999999999996	not_set
1	7.6986050668092405	0.27250552854297194	1.3478214429417663	0.7448123894339076	-2.294883300799802	4899.3802821877889	3.1566888882722508	15731.146288568949	1774.5953467152565	750.50519208228354	-0.88801527002314962	-0.091238962035275692	-0.19527832600965203	0	0.091793005481213552	0	0	0	success	non_bfb	success	no_coex_pair	3.9740000000000002	not_set
1	6.9654045842559791	0.30119032102117949	1.3478214429417663	0.67387787615448791	-2.076322986437916	4899.3802821877889	2.8560518512939415	13041.577340204429	1406.214224494099	525.73034824710044	-0.57788353788282787	-0.077309841441803098	-0.13385443462293106	0	0.063151559963878057	0	0	0	success	non_bfb	success	no_coex_pair	4.0419999999999998	not_set
1	7.6986050668092405	0.30119032102117949	1.3478214429417663	0.7448123894339076	-2.076322986437916	4899.3802821877889	3.1566888882722508	14179.812238077306	1460.0786822512891	562.66330993679571	-0.66245639609556428	-0.07721379970529918	-0.14679288286967149	0	0.069464460010133178	2.4447217583656311e-09	0	0	success	non_bfb	success	no_coex_pair	3.9430000000000001	not_set
1	7.3159153486237445	0.28644500322891447	1.2802310579645113	0.71400309661924843	-2.1773710730341995	4724.4024149667966	3.034982840373377	13953.469009333541	1475.4886741662397	572.14192784587578	-0.65768515368275382	-0.081445517549852908	-0.15532521945517194	0	0.069124329072378282	0	0	0	success	non_bfb	success	no_coex_pair	3.746	not_set
1	7.2998258717148792	0.28604208167575323	1.2768226464606736	0.71866106044429912	-2.1691390024495405	4782.7283707071274	3.0635953109636573	13829.588570754942	1457.1314382070789	552.96439769826611	-0.64099866705132513	-0.080863429299073031	-0.15350392481217631	0	0.067095465231650678	0	0	0	success	non_bfb	success	no_coex_pair	4.1829999999999998	not_set
1	7.2837363948060148	0.285639160122592	1.273414234956836	0.72331902426934991	-2.160906931864881	4841.0543264474582	3.0922077815539382	13708.948695983498	1439.2382734918692	534.33351133947883	-0.62483038944790059	-0.080296400399676587	-0.15171066882890008	0	0.065117746894005263	2.0954757928848267e-09	0	0	success	non_bfb	success	no_coex_pair	3.8500000000000001	not_set
1	7.2676469178971495	0.28523623856943076	1.2700058234529985	0.72797698809440059	-2.152674861280222	4899.3802821877889	3.1208202521442185	13591.459864988659	1421.7953760090311	516.23864287662843	-0.60917599150829604	-0.07974388759445461	-0.14994565679787569	0	0.063190640434516387	0	0	0	success	non_bfb	success	no_coex_pair	3.8650000000000002	not_set
