input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.41199999999999998:continue_region_v1
1	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
2	region-v2: exact_nlo_success:runtime=0.379:continue_region_v1
2	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
3	region-v2: exact_nlo_success:runtime=0.41799999999999998:continue_region_v1
3	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
4	region-v2: exact_nlo_success:runtime=0.40000000000000002:continue_region_v1
4	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
5	region-v2: exact_nlo_success:runtime=0.38:continue_region_v1
5	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
6	region-v2: exact_nlo_success:runtime=0.41699999999999998:continue_region_v1
6	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
7	region-v2: exact_nlo_success:runtime=0.40500000000000003:continue_region_v1
7	region-v1: exact fallback: fallback_late_failure:bounce_0:failure
8	region-v2: exact_nlo_success:runtime=0.40899999999999997:continue_region_v1
8	region-v1: exact fallback: fallback_late_failure:nucleation_approx_0:not_met
