sample_id	machine	archive_category	parameter_cell	validation_stratum	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
117	yuanyuan	both	m1_s0	snr_boundary	1.869555483052699e-08	typeI_mH62-125/random_20260816_064945.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	3884	7.339820000000000e+01	3.072480000000000e+02	2.998400000000000e+02	3.224720000000000e+02	1.967030000000000e-02	6.054290000000000e+00
118	yuanyuan	both	m1_s0	snr_boundary	9.906803387276254e-11	typeI_mH62-125/random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	7070	9.866610000000000e+01	2.983330000000000e+02	2.811790000000000e+02	1.705230000000000e+02	1.208460000000000e-02	4.697840000000000e+00
119	yuanyuan	both	m1_s0	snr_boundary	1.221244883473756e-11	typeI_mH62-125/random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	7184	8.204970000000000e+01	3.151790000000000e+02	3.045810000000000e+02	2.072310000000000e+02	3.915290000000000e-02	6.992800000000000e+00
120	office	both	m1_s1	snr_boundary	1.206147077007235e-09	random_20260820_005445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_6.csv	6835	6.580150000000000e+01	2.959240000000000e+02	2.945310000000000e+02	2.422060000000000e+02	1.440250000000000e-01	6.255110000000000e+00
121	office	both	m1_s1	snr_boundary	2.987664349479098e-19	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	10229	1.222751961287711e+02	3.267581396754530e+02	1.167188147641081e+02	2.197933519571689e+03	1.766090186472461e-01	6.829449824002052e+00
122	office	both	m1_s1	snr_boundary	1.862093965388972e-10	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_9.csv	3457	9.398045114018380e+01	2.816157150951616e+02	2.861383313093682e+02	1.006879457685671e+03	1.301869386917164e-01	6.047987090579792e+00
123	qiushi	both	m1_s1	snr_boundary	1.462843852608338e-17	typeI_mH62-125/random_20260815_194920.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	242	7.160060000000000e+01	3.064470000000000e+02	3.134880000000000e+02	3.179600000000000e+02	1.677650000000000e-01	7.318060000000000e+00
124	qiushi	both	m1_s1	snr_boundary	2.417979311722023e-08	typeI_mH62-125/random_20260816_190708.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	4379	6.981710000000000e+01	3.028840000000000e+02	2.875440000000000e+02	5.003310000000000e+02	1.258720000000000e-01	5.961060000000000e+00
125	qiushi	both	m1_s1	snr_boundary	1.550542804104761e-08	typeI_mH62-125/random_20260817_182439.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	7400	7.227140000000000e+01	2.800750000000000e+02	2.858060000000000e+02	5.576330000000000e+02	1.410380000000000e-01	5.624010000000000e+00
126	yuanyuan	both	m1_s1	snr_boundary	9.709682379927764e-07	typeI_mH62-125/random_20260816_190714.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both.csv	6309	6.490860000000001e+01	2.843480000000000e+02	2.816550000000000e+02	4.987840000000000e+02	1.233620000000000e-01	5.433190000000000e+00
127	yuanyuan	both	m1_s1	snr_boundary	1.798028877288666e-07	typeI_mH62-125/random_20260819_104213.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	1256	6.932599999999999e+01	3.266950000000000e+02	3.115720000000000e+02	4.563270000000000e+02	1.733650000000000e-01	6.090060000000000e+00
128	yuanyuan	both	m1_s1	snr_boundary	7.362985426871825e-12	typeI_mH62-125/random_20260901_123420.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	7047	1.016300000000000e+02	2.601090000000000e+02	2.689010000000000e+02	6.398120000000000e+02	1.281460000000000e-01	4.310080000000000e+00
129	qiushi	both	m1_s2	snr_boundary	1.695968399549624e-08	typeI_mH62-125/random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	10825	7.646259999999999e+01	2.883010000000000e+02	2.961950000000000e+02	5.395410000000001e+02	2.166620000000000e-01	4.914830000000000e+00
130	qiushi	both	m1_s2	snr_boundary	2.475010937805961e-08	typeI_mH62-125/random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	11166	8.192149999999999e+01	2.970560000000000e+02	2.936740000000000e+02	8.959280000000000e+02	2.115920000000000e-01	5.802460000000000e+00
131	qiushi	both	m1_s2	snr_boundary	9.723401658240024e-10	typeI_mH62-125/random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	11367	1.030060000000000e+02	2.897690000000000e+02	2.912840000000000e+02	7.998320000000000e+02	2.186320000000000e-01	4.411310000000000e+00
132	office	both	m2_s3	snr_boundary	0.004599075343661885	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	5133	2.145781358766975e+02	5.802326522598204e+02	2.110711704902795e+02	6.478252020615635e+03	9.892419539383156e-01	6.689334112418316e+00
133	office	both	m2_s3	snr_boundary	4.789656307333745e-10	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	8391	1.252675670647071e+02	3.278291027669107e+02	3.288090870596779e+02	2.074272331028583e+03	9.881654753094882e-01	6.198771948089203e+00
