yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	7.64737458585872	5.864282954285531	0.1819283837934276	-1.2807099270666342	-5.472309639517007	334213.9753273878	1.3332958830749126
1	1.4460449757690084	0.8514876508380804	12.177508648986963	-6.279515317578973	-6.481938919255947	248112.46357677103	1.142512337760204
1	6.691637031718112	1.945137568384228	0.660272020085761	-1.5756026916172234	-2.121114376998807	381880.6094612546	1.4028109243637026
1	6.1016960417110315	0.273433306756187	3.0110731783331888	-2.876025161080056	-0.1880651000821639	143156.24705963026	5.093159454579231
1	4.069191764911529	0.0510270199443614	8.223217184789211	-2.7527371454220466	1.6310705031741437	66634.63475322792	4.819158683930802
1	7.731940445991089	5.980248190708344	3.0003388718769024	-4.647286247531566	-4.704360633010768	310637.5159529291	1.1740573181505485
1	3.4833975397547685	3.9142332711326815	9.614809056441766	-7.129566592956409	-6.016847435894403	103727.82375072272	1.3392184413747326
1	5.20724451774471	1.0813601230045584	-1.2029628211485175	0.2114694988981746	-0.7792385306956883	333155.90869507054	1.4823698665350815
1	6.703032448490873	3.383718111233788	6.7151424126265535	-5.511363846825514	-5.531050438867261	368312.5593296126	1.3527309211264067
1	7.289824675079601	0.4625690320803929	2.5653878834344583	-3.6767026820467734	0.1609088698672979	353122.7218991494	2.268883205134059
