input_row	diagnostic
1	region-v1: accepted_early_failure:nlo:no_nlo_stability
2	region-v1: accepted_early_failure:nlo:no_nlo_stability
3	region-v1: accepted_early_failure:nlo:no_nlo_stability
4	region-v1: accepted_early_failure:nlo:no_nlo_stability
