yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4649939918621184	-1.8750772849006383	442670.59500011936	1.9849965725408245
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4651432857701989	-1.8750772849006383	442670.59500011936	1.9849965725408245
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4652925796782803	-1.8750772849006383	442670.59500011936	1.9849965725408245
1	5.5333850511385245	1.4709620802623875	6.609660373142364	-7.4654045501093407	-1.8750772849006383	442670.59500011936	1.9849965725408245
1	5.5334831873568557	1.4709428689844259	6.6099054100662515	-7.4647914205662902	-1.8751469394817166	442636.74258671794	1.9847881479007077
1	5.5332869149201933	1.4709812915403491	6.6094153362184764	-7.4645993875256229	-1.87500763031956	442704.44741352077	1.9852049971809413
1	5.5332757879968177	1.4711047629316871	6.6095084415719505	-7.4647101675130063	-1.8752741680155529	442663.56320134911	1.9849142180043435
1	5.5334943142802313	1.4708193975930879	6.6098123047127775	-7.4646806405789068	-1.8748804017857237	442677.6267988896	1.9850789270773055
1	7.2896479200646871	0.462707802790017	2.5649971283684514	-3.6766458564926361	0.16088079252458731	353056.48464320233	2.2691425009024595
1	7.2900014300945157	0.46243026137076881	2.5657786385004653	-3.6767595076009107	0.16093694721000851	353188.9591550965	2.2686239093656582
1	7.292011622482125	0.46259995050313918	2.5661348310196326	-3.6767498274191315	0.16093434359262715	353172.37909668434	2.269437812154671
1	7.2876377276770778	0.46253811365764663	2.5646409358492841	-3.6766555366744154	0.16088339614196867	353073.06470161449	2.2683285981134467
