yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	0.58251697283120418	0.26611918602278256	1.1767629119353151	-0.80515886060017172	-0.24187751493320256	2482.4714030040668	8.1757288208170316
1	0.58128051761794475	0.26609638529171775	1.1770682707335025	-0.80500412081322903	-0.24216403055135688	2479.4085385929852	8.1796846361215696
1	0.58004406240468565	0.26607358456065294	1.1773736295316897	-0.80484938102628667	-0.24245054616951126	2476.3456741819041	8.1836404514261076
1	0.57880760719142632	0.26605078382958813	1.1776789883298771	-0.80469464123934398	-0.2427370617876656	2473.2828097708225	8.1875962667306457
1	0.577571151978167	0.26602798309852332	1.1779843471280642	-0.80453990145240128	-0.24302357740581995	2470.2199453597414	8.1915520820351837
1	0.57633469676490767	0.26600518236745851	1.1782897059262516	-0.8043851616654587	-0.24331009302397433	2467.1570809486602	8.1955078973397235
1	0.57509824155164846	0.26598238163639371	1.1785950647244388	-0.80423042187851612	-0.24359660864212865	2464.0942165375791	8.1994637126442615
1	0.57386178633838925	0.2659595809053289	1.1789004235226261	-0.80407568209157354	-0.243883124260283	2461.0313521264975	8.2034195279487996
1	0.57262533112512992	0.26593678017426409	1.1792057823208133	-0.80392094230463085	-0.24416963987843732	2457.9684877154164	8.2073753432533376
1	0.5713888759118706	0.26591397944319928	1.1795111411190007	-0.80376620251768827	-0.24445615549659169	2454.9056233043348	8.2113311585578757
