yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	transition_history
1	7.6467627958918509	5.864282954285531	0.1819283837934276	-1.2807099270666342	-5.472309639517007	334213.9753273878	1.3332958830749126	-28500.645997558768	16093.952363700788	109696.02513395234	-8.9168293146056516	-4.1649125084436172	-2.6251345661030143	0	1.6970116113529923	-2.9802322387695312e-08	-2.2351741790771484e-08	0	success	non_bfb	success	no_coex_pair	8.5700000000000003	not_set
1	7.64737458585872	5.864282954285531	0.1819283837934276	-1.2808123838607997	-5.472309639517007	334213.9753273878	1.3332958830749126	-28506.920642845394	16094.22082464614	109696.49477255085	-8.9177502308868846	-4.1649170255254662	-2.6251323421983832	0	1.6970068042610351	7.4505805969238281e-09	-1.862645149230957e-08	0	success	non_bfb	success	no_coex_pair	8.5609999999999999	not_set
1	7.64737458585872	5.864282954285531	0.1819283837934276	-1.2807099270666342	-5.472309639517007	334240.71244541398	1.3332958830749126	-28517.839195619788	16089.922418237697	109704.96052666535	-8.9179564997551388	-4.1650041827082411	-2.625200284704996	0	1.6971078933896282	-1.4901161193847656e-08	0	0	success	non_bfb	success	no_coex_pair	9.0389999999999997	not_set
1	7.6477799315166886	5.8642994683465961	0.18194370627265419	-1.2806999184987624	-5.4722822909327489	334232.98851924069	1.3333025988065681	-28519.311128761728	16090.949786318464	109701.49603701253	-8.9185240926887879	-4.1649701162029409	-2.625181029383993	0	1.6971250270508975	-2.9802322387695312e-08	1.1175870895385742e-08	0	success	non_bfb	success	no_coex_pair	8.8339999999999996	not_set
