yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	7.324672820707077	0.28656107685729365	1.2823558299988804	0.70863578766140356	-2.1877887467624779	4661.4103827672398	3.0033639994133132
1	7.3393368303581425	0.28656107685729365	1.2823558299988804	0.71005447792699194	-2.1877887467624779	4661.4103827672398	3.009376740152879
1	7.324672820707077	0.28713477270685778	1.2823558299988804	0.70863578766140356	-2.1834175404752401	4661.4103827672398	3.0033639994133132
1	7.3393368303581425	0.28713477270685778	1.2823558299988804	0.71005447792699194	-2.1834175404752401	4661.4103827672398	3.009376740152879
1	7.324672820707077	0.28656107685729365	1.2849231089378172	0.70863578766140356	-2.1877887467624779	4670.742535685692	3.0033639994133132
1	7.3393368303581425	0.28656107685729365	1.2849231089378172	0.71005447792699194	-2.1877887467624779	4670.742535685692	3.009376740152879
1	7.324672820707077	0.28713477270685778	1.2849231089378172	0.70863578766140356	-2.1834175404752401	4670.742535685692	3.0033639994133132
1	7.3393368303581425	0.28713477270685778	1.2849231089378172	0.71005447792699194	-2.1834175404752401	4670.742535685692	3.009376740152879
1	7.3316830359944323	0.2868398663510125	1.2835713012382721	0.70943829207069875	-2.1854385022071656	4667.2429783412726	3.0069426191949016
1	7.3313612464562548	0.28683180791994928	1.2835031330081954	0.70953145134719975	-2.1852738607954727	4668.4094974560794	3.0075148686067075
1	7.3310394569180781	0.28682374948888606	1.2834349647781185	0.70962461062370075	-2.1851092193837793	4669.5760165708862	3.0080871180185129
1	7.3307176673799006	0.28681569105782284	1.2833667965480418	0.70971776990020186	-2.1849445779720864	4670.742535685692	3.0086593674303184
