yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
3	4.0866241941672206	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087441600746712	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.25818497819428621	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.25838497819428619	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.5565461289907168	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.5572575093545513	-1.783927596632666	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.7841059893923292	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.7837492038730027	-1.5350085508265986	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5351620516816813	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5348550499715161	1079.84	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.7320159999999	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.9479839999999	12.4592
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.457954079999999
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.46044592
3	4.0868503420211031	0.25825765142273044	3.5568442182798763	-1.784065823440564	-1.5349703532907664	1079.8198178629502	12.459139646468179
3	4.0869244229935697	0.25826007634309128	3.5571858616298622	-1.7838680940581215	-1.5349560542021248	1079.8442200882969	12.459212119340656
3	4.0871440890527539	0.25826690271870661	3.5568637673999453	-1.7839736429363002	-1.5349063852240026	1079.8352872063131	12.459958225438397
3	4.0867570115798362	0.25827088917091701	3.5568748228770675	-1.7839976721085298	-1.5349622897504196	1079.8320978665804	12.458554711701836
3	4.0872157269887319	0.25832887899649687	3.5568536411543352	-1.7839381610678675	-1.5350971976996142	1079.8922857842372	12.459364105376356
3	4.0871777723531419	0.25824162177639237	3.5568459400765642	-1.784044996439371	-1.5350437668795256	1079.8814819873917	12.459409941277167
3	4.0872184968225316	0.25823755797611775	3.5570485534126295	-1.7840120924598759	-1.5350144696951684	1079.7988131128996	12.459406293097972
3	4.0870491025411022	0.25824783103876753	3.5567289711324399	-1.7838914342350387	-1.5349019786157247	1079.8741256670301	12.459155032028896
