yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
2	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	9839.4372002570817	2544.734939988994	114.35156221889234	-3.7538391617376869	-0.091693947884944602	-0.09737358302358462	0	-0.0066985889029439454	0	0	0	success	non_bfb	success	success	23.669	success	158.38056951593296	0	0	0	0	2.011457463451676e-08	12.781139320764435	120.56311321919348	1.0681463904037025e-09	success	success	157.62412354774756	0	0	0	0	9.0189086851842723e-09	13.90615442526415	129.59080816451109	7.4625044216791163e-09	success	157.65163136268868	0	0	0	0	3.7637226030480207e-09	13.871722054122397	129.3139080793043	-1.3669444434856389e-08	success	157.50914378474118	0	0	0	0	-1.6617370723691518e-08	14.04634179632875	130.71896087188006	-2.5443918968528673e-08	success	157.49706138133706	0	0	0	0	-8.5336770874064963e-10	14.06073924550318	130.83490132332452	3.0901692260114126e-08	success	157.50914656425761	157.50914656425761	0.94999999999999996	0.0011369843833227281	33006.778876632197	0	0.0017975406906111948	0.10000000000000001	0.57744875487944014	0.5767834245679988	0.095586058916682815	0	0.042644041150535578	0.27136950607107962	1.9319502585966785e-23	3.2312791734846464e-05	0.46908445265589138	1.5928216942552462e-29	0	5.4388884821622899e-13	2.0000858884133925e-17	5.4390063122752637e-13	0-(0)->1
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	10319.970546487753	2547.8290500150133	152.91090776873514	-4.9872757812194468	-0.091745518624833738	-0.097373583023584676	0	0.0012770068784387714	0	0	0	success	non_bfb	success	success	25.056999999999999	success	113.92516740163654	5.3921349468454039e-11	295.62985683626704	38.001992479837234	-1.9481490123694917e-10	4.5142307955248229e-09	21.902305946097027	224.1708359958786	1.8498617768313322e-09	success	success	42.185371438114963	-5.9071656954920973e-11	273.84794160186624	70.013230801946236	-1.3269464120328596e-10	1.4320578087700582e-10	19.988786370372083	245.86647043465533	-7.4547156172385973e-10	success	48.406365190368774	2.3498538080190254e-11	275.52030610399675	66.991513863942814	8.2983096202700361e-11	-2.1647213393732259e-09	20.097423966662241	245.76317704260819	-8.8015426442076655e-10	success	42.081141557873963	1.7845449331633721e-11	273.82125098148123	70.061625312349435	9.3315897241612023e-11	-1.8838334655869121e-10	19.987119581743887	245.86694052377317	-5.7169526054259737e-10	success	40.632353699069277	-1.4612502707772634e-11	273.45560965776633	70.724773321685745	-1.3793928333685322e-11	-8.7617700785344799e-10	19.964477216067138	245.86980224603977	-2.0402088300361593e-10	success	42.080136738203869	50.477816059780935	0.94999999999999996	1.0705878317686517	59.848586257058656	0	0.63070566890966728	0.10000000000000001	0.59334568243274921	0.5782779712984224	5.4609502329540233e-05	0	3.0180323871284306e-05	0.00019282760681327366	2.4832388861017908e-10	9.140034847161129e-06	0.00033198356258412739	8.334066200669716e-14	0	151.96323596872674	0.27055038420290817	152.18997529924667	0-(0)->1
4	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	9839.4378509005401	2544.7349357975577	114.35156221889234	-3.7538060867319452	-0.09169394925752973	-0.09737358302358462	0	-0.0066985889029439454	0	0	0	success	non_bfb	success	success	24.640999999999998	success	158.38170455623637	0	0	0	0	4.6784281451905012e-09	12.800586635396849	120.57043311008759	8.229919740670023e-09	success	success	157.62503688938236	0	0	0	0	-1.1573100762829721e-08	13.927369118453184	129.59826180225767	-4.8077547970953374e-09	success	157.65255254667557	0	0	0	0	-2.8651424179834742e-08	13.892883715238279	129.32135240943435	1.4522636610153631e-08	success	157.51003285833269	0	0	0	0	-6.7730844867939277e-09	14.067761676175603	130.72637619285615	-9.8197220771702224e-10	success	157.4979456917423	0	0	0	0	8.8730964082751467e-09	14.082181765379076	130.84232698188757	1.6085196436593545e-08	success	157.51003285833269	157.51003285833269	0.94999999999999996	0.0011370843234060188	33019.657403650293	0	0.0017976975924580199	0.10000000000000001	0.57744875422712105	0.57678337086207399	0.095623894596507428	0	0.042634930489317477	0.27131149044998237	1.9332655842124178e-23	3.2308716447777904e-05	0.46898423538249229	1.5940785211798358e-29	0	5.445829087619952e-13	2.0020917196461868e-17	5.4459470396027732e-13	0-(0)->1
