yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	rel_radius	reason
1	0.2061394598313448	0.341679580207815	3.0833466997466124	-1.408279004829568	-1.5476599000512343	12768.777547483274	2.0501578931930924	5e-4	e16_positive_a1_certified_neighborhood
1	0.814290420651295	0.2726866425670808	3.9646066758121505	-1.79413241138903	-2.0476323251471253	1386.0546826016782	3.337036301464257	4e-4	e3_broad_a_certified_neighborhood
1	5.278745958281944	0.2354290839757044	0.8486749778857966	1.3037712649357909	-1.1350673170332302	12109.344285336989	6.657751287025503	0	core_a_row3
1	1.156330490480512	0.2331907612638231	0.3637036104174252	3.730873780970079	-3.5899168520497167	9029.287637650732	3.37579137424349	0	core_a_row5
1	3.900143943487423	0.4068831714679385	1.1163809882847664	-1.7664090928627545	0.1727720757819473	4934.480179319838	2.5678430616425536	0	core_a_row6
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906	1.1e-4	e4_broad_c_certified_neighborhood
1	6.533101052154675	0.4595919327042688	-1.6844866567644097	1.249941453168006	-0.7126994589480942	22520.778842495725	3.8236637734269414	1.5e-4	e17_positive_c5_certified_neighborhood
1	7.0681024325574455	0.3695306048245501	0.1953489993983219	-0.139534864262429	-0.6746407203219511	21014.604160006347	3.0321658722370226	0	core_c_row6
1	5.962845743930713	0.4222347464945083	1.4600738606126729	-1.5479481680147833	-0.6304353642516897	28211.305243331688	2.2081295961573564	0	core_c_row8
1	1.2911564381957992	1.2615997505422587	7.431395851818033	-5.0052603223930765	-3.665935064595928	97854.82430073198	1.7285582891457645	0	core_c_row9
1	0.63815745742787211	0.26714521892069915	1.1630217660168884	-0.81212215101258989	-0.22898431211625675	2620.3003015027266	7.9977171321128102	0	core_nlo_valid_row1
1	0.61095544273616775	0.26664360283727329	1.1697396595770082	-0.8087178756998521	-0.23528765571565247	2552.9172844589375	8.0847450688126514	0	core_nlo_valid_row2
1	0.5837534280444634	0.26614198675384737	1.176457553137128	-0.80531360038711441	-0.24159099931504821	2485.534267415148	8.1717730055124935	0	core_nlo_valid_row3
1	0.50214738396935066	0.26463713850356974	1.196611233817487	-0.79510077444890137	-0.26050103011323533	2283.3852162837802	8.4328568156120163	0	core_nlo_valid_row5
2	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	3.1e-4	e20_high_yuk2_certified_neighborhood
3	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	4e-4	e2_high_yuk3_certified_neighborhood
4	4.087032897456966	0.2582849781942862	3.556901819172634	-1.783927596632666	-1.5350085508265986	1079.84	12.4592	1.1e-4	e21_high_yuk4_certified_neighborhood
