sample_id	machine	category	branch	validation_stratum	edge_score	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
113	qiushi	both	heavy	physical_boundary	0.5407573333333335	1.587665200188578e-26	typeI_mH125-220/random_20260823_112743.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	3457	1.465270000000000e+02	2.578610000000000e+02	2.363580000000000e+02	2.099270000000000e+03	9.954360000000000e-01	7.577450000000000e+00
114	qiushi	both	heavy	physical_boundary	1.0	6.3431496844235e-12	typeI_mH125-220/random_20260823_112743.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	3597	2.090850000000000e+02	4.601540000000000e+02	2.048160000000000e+02	5.602170000000000e+03	9.916130000000000e-01	7.198090000000000e+00
115	qiushi	both	heavy	physical_boundary	1.0	3.479983364639018e-20	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	5245	2.128110000000000e+02	4.030800000000000e+02	2.143320000000000e+02	7.552990000000000e+03	9.947549999999999e-01	5.686380000000000e+00
116	qiushi	both	heavy	physical_boundary	0.23316666666666683	1.105854592514087e-16	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	5563	2.171820000000000e+02	3.743630000000000e+02	3.603730000000000e+02	4.775830000000000e+03	9.959000000000000e-01	9.273730000000000e+00
117	qiushi	both	heavy	physical_boundary	1.0	1.003678065978806e-16	typeI_mH125-220/random_20260825_210947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	7235	2.109470000000000e+02	4.265670000000000e+02	2.009300000000000e+02	7.891100000000000e+03	9.961780000000000e-01	4.872040000000000e+00
118	qiushi	both	heavy	physical_boundary	0.08623333333333297	2.068620683035819e-27	typeI_mH220-500/random_20260826_184030.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	8478	2.998130000000000e+02	2.963460000000000e+02	3.015200000000000e+02	1.217110000000000e+04	9.961520000000000e-01	7.278700000000000e+00
119	qiushi	both	heavy	physical_boundary	0.6826666666666668	2.449405886013302e-27	typeI_mH220-500/random_20260828_001210.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	10212	2.494320000000000e+02	2.513560000000000e+02	2.103960000000000e+02	9.241719999999999e+03	9.938620000000000e-01	6.565880000000000e+00
120	qiushi	both	heavy	physical_boundary	0.6367833333333333	7.587498105675151e-28	typeI_mH220-500/random_20260820_084408.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	11272	2.394270000000000e+02	2.571230000000000e+02	2.189160000000000e+02	8.041920000000000e+03	9.956990000000000e-01	6.142420000000000e+00
121	yuanyuan	both	heavy	physical_boundary	1.0	4.282152763957253e-20	typeI_mH125-220/random_20260822_062803.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	5951	2.094670000000000e+02	4.083070000000000e+02	2.153510000000000e+02	5.867630000000000e+03	9.906000000000000e-01	6.621160000000000e+00
122	yuanyuan	both	heavy	physical_boundary	0.11783333333333322	0.0001174913403396394	typeI_mH125-220/random_20260822_062803.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6034	2.083270000000000e+02	4.541570000000000e+02	4.612270000000000e+02	6.182560000000000e+03	9.978790000000000e-01	6.743430000000000e+00
123	yuanyuan	both	heavy	physical_boundary	0.10446666666666621	2.587429008374375e-25	typeI_mH125-220/random_20260823_011757.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6360	2.124810000000000e+02	2.794900000000000e+02	2.857580000000000e+02	5.352570000000000e+03	9.932430000000000e-01	8.102320000000001e+00
124	yuanyuan	both	heavy	physical_boundary	0.13679999999999998	2.885276750755963e-26	typeI_mH125-220/random_20260823_011757.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6980	1.840340000000000e+02	2.172480000000000e+02	2.254560000000000e+02	3.256250000000000e+03	9.954220000000000e-01	1.015630000000000e+01
125	yuanyuan	both	heavy	physical_boundary	0.0658000000000006	3.036829315835773e-26	typeI_mH125-220/random_20260821_235905.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	7390	1.819630000000000e+02	2.572770000000000e+02	2.612250000000000e+02	3.082400000000000e+03	9.928169999999999e-01	9.729690000000000e+00
126	yuanyuan	both	heavy	physical_boundary	0.7817666666666667	1.777674284546119e-26	typeI_mH125-220/random_20260823_112730.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	8215	2.132450000000000e+02	2.263560000000000e+02	2.732620000000000e+02	7.157780000000000e+03	9.971790000000000e-01	4.739600000000000e+00
127	yuanyuan	both	heavy	physical_boundary	1.0	3.931824786743653e-21	typeI_mH125-220/random_20260823_112730.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	8966	2.154450000000000e+02	4.093100000000000e+02	2.035720000000000e+02	6.983650000000000e+03	9.961800000000000e-01	4.706090000000000e+00
128	yuanyuan	both	heavy	physical_boundary	0.7101409587254827	6.434057115496535e-19	typeI_mH125-220/async_mcmc_20260903_095854.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	9111	1.385871425597430e+02	2.938984539617591e+02	2.899478170324641e+02	1.480596288695850e+03	9.979023991845395e-01	1.237605233572231e+01
129	yuanyuan	both	heavy	physical_boundary	0.7644005823522135	4.320544488282441e-19	typeI_mH125-220/async_mcmc_20260903_210907.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	10182	1.360437227022400e+02	3.011746762250863e+02	3.116439246328076e+02	1.519173664108886e+03	9.976905420780259e-01	1.050104486024376e+01
130	yuanyuan	both	heavy	physical_boundary	0.856000000000004	2.385719387393525e-26	typeI_mH125-220/random_20260824_002709.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	10686	1.989640000000000e+02	2.350800000000000e+02	2.339360000000000e+02	7.380910000000000e+03	9.988380000000000e-01	3.881830000000000e+00
131	yuanyuan	both	heavy	physical_boundary	0.5111111111110662	4.002887764438803e-26	typeI_mH125-220/random_20260824_002709.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	11461	1.650260000000000e+02	2.052720000000000e+02	2.151900000000000e+02	4.261430000000000e+03	9.984499999999999e-01	4.785290000000000e+00
132	yuanyuan	both	heavy	physical_boundary	0.1374	1.059207380736718e-26	typeI_mH125-220/random_20260824_002709.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	11930	1.850240000000000e+02	2.049500000000000e+02	2.131940000000000e+02	4.130420000000000e+03	9.923250000000000e-01	7.838810000000000e+00
