input_row	diagnostic
1	region-v2: exact_nlo_success:runtime=0.38300000000000001:continue_region_v1
1	region-v1: accepted_early_failure:coexistence:no_coex_pair
2	region-v2: exact_nlo_success:runtime=0.435:continue_region_v1
2	region-v1: accepted_early_failure:coexistence:no_coex_pair
3	region-v2: exact_nlo_success:runtime=0.41199999999999998:continue_region_v1
3	region-v1: accepted_early_failure:coexistence:no_coex_pair
4	region-v2: exact_nlo_success:runtime=0.40699999999999997:continue_region_v1
4	region-v1: accepted_early_failure:coexistence:no_coex_pair
5	region-v2: exact_nlo_success:runtime=0.46400000000000002:continue_region_v1
5	region-v1: accepted_early_failure:coexistence:no_coex_pair
6	region-v2: exact_nlo_success:runtime=0.379:continue_region_v1
6	region-v1: accepted_early_failure:coexistence:no_coex_pair
