yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	transition_history
1	7.3294386238436733	0.28674752800840198	1.2831901956540348	0.70909686199771982	-2.1863681047191257	4664.4433324657366	3.0053181401536722	14079.906051408909	1494.5663359563707	592.0594260300295	-0.67497882263739073	-0.082077520200095386	-0.15724339895350237	0	0.071213305038133862	2.2118911147117615e-09	0	0	success	non_bfb	success	no_coex_pair	4.0570000000000004	not_set
1	7.3345710272215463	0.28674752800840198	1.2831901956540348	0.70959340359067569	-2.1863681047191257	4664.4433324657366	3.0074225994125201	14088.05720484891	1494.891601780218	592.3312983906103	-0.67561845404906362	-0.082076356001793097	-0.15734346570063282	0	0.071261997280518283	0	0	0	success	non_bfb	success	no_coex_pair	3.7810000000000001	not_set
1	7.3294386238436733	0.28694832155574945	1.2831901956540348	0.70909686199771982	-2.1848381825185923	4664.4433324657366	3.0053181401536722	14069.529945223068	1492.3735959785622	590.80295218446543	-0.67355646330740826	-0.081981986415480379	-0.1569221328519953	0	0.071069980955455414	0	0	0	success	non_bfb	success	no_coex_pair	3.7770000000000001	not_set
1	7.3345710272215463	0.28694832155574945	1.2831901956540348	0.70959340359067569	-2.1848381825185923	4664.4433324657366	3.0074225994125201	14077.675524369452	1492.6994953138308	591.07467663662226	-0.67419404796370397	-0.08198082376086914	-0.15702201041243771	0	0.071118567866680346	2.2118911147117615e-09	0	0	success	non_bfb	success	no_coex_pair	4.0270000000000001	not_set
1	7.3294386238436733	0.28674752800840198	1.2840887432826629	0.70909686199771982	-2.1863681047191257	4667.7095859871952	3.0053181401536722	14083.686737051054	1495.9496685886968	592.6793874435366	-0.67559266800384377	-0.082105683816122363	-0.15732659814059488	0	0.071291131871450059	0	0	0	success	non_bfb	success	no_coex_pair	3.7890000000000001	not_set
1	7.3345710272215463	0.28674752800840198	1.2840887432826629	0.70959340359067569	-2.1863681047191257	4667.7095859871952	3.0074225994125201	14091.840897798691	1496.2750260401122	592.95120093760897	-0.67623363582149132	-0.082104525639483492	-0.1574267197474182	0	0.071339863706992995	0	0	0	success	non_bfb	success	no_coex_pair	4.0599999999999996	not_set
1	7.3294386238436733	0.28694832155574945	1.2840887432826629	0.70909686199771982	-2.1848381825185923	4667.7095859871952	3.0053181401536722	14073.309465096985	1493.7561935412934	591.42221554135358	-0.67417025368482753	-0.082010112210338063	-0.1570052688573976	0	0.071147731182976737	0	0	0	success	non_bfb	success	no_coex_pair	3.641	not_set
1	7.3345710272215463	0.28694832155574945	1.2840887432826629	0.70959340359067569	-2.1848381825185923	4667.7095859871952	3.0074225994125201	14081.458052628836	1494.082184798822	591.69388159596053	-0.67480917477990776	-0.082008955583501242	-0.15710520127615427	0	0.07119635769614889	0	0	0	success	non_bfb	success	no_coex_pair	3.8809999999999998	not_set
1	7.3318921991942476	0.28684510433120358	1.283615610587822	0.70937773854097308	-2.1855455191247666	4666.4847409166478	3.0065706570772281	14079.780356433881	1494.190687592215	591.73671479236282	-0.67477174473310064	-0.082038994675168925	-0.15716128668084575	0	0.071190114947026872	0	0	0	success	non_bfb	success	no_coex_pair	3.891	not_set
1	7.3317795728558854	0.28684228388033145	1.283591751707295	0.70941034428774852	-2.1854878946306737	4666.8930226068305	3.0067709443713602	14078.878224818749	1494.0571667293129	591.59663635932952	-0.67464948341022601	-0.082034755773930296	-0.15714824817934317	0	0.071175373044205403	0	0	0	success	non_bfb	success	no_coex_pair	3.9590000000000001	not_set
1	7.3316669465175233	0.28683946342945932	1.2835678928267682	0.70944295003452384	-2.1854302701365813	4667.3013042970124	3.0069712316654922	14077.976261150736	1493.9236700130164	591.45658575913205	-0.67452724788018126	-0.082030517667191591	-0.15713521102877706	0	0.071160633697645817	-1.6298145055770874e-09	0	0	success	non_bfb	success	no_coex_pair	4.0910000000000002	not_set
1	7.331554320179162	0.28683664297858719	1.2835440339462414	0.70947555578129917	-2.1853726456424885	4667.7095859871952	3.0071715189596242	14077.074465394042	1493.7901974379517	591.31656298728228	-0.67440503814121711	-0.082026280354739092	-0.15712217522923722	0	0.071145896907134021	0	0	0	success	non_bfb	success	no_coex_pair	3.718	not_set
