yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	transition_history
1	7.324672820707077	0.28656107685729365	1.2823558299988804	0.70863578766140356	-2.1877887467624779	4661.4103827672398	3.0033639994133132	14078.46057596607	1495.0161053784861	592.39765964780395	-0.67513611278897923	-0.082141212585198173	-0.15737153591342726	0	0.071228840672937069	0	0	0	success	non_bfb	success	no_coex_pair	5.4260000000000002	not_set
1	7.3393368303581425	0.28656107685729365	1.2823558299988804	0.71005447792699194	-2.1877887467624779	4661.4103827672398	3.009376740152879	14101.756394835171	1495.9435112852486	593.1749869110505	-0.67696551913282654	-0.082137866170007207	-0.15765779745932842	0	0.071368136001530608	1.7462298274040222e-09	0	0	success	non_bfb	success	no_coex_pair	5.319	not_set
1	7.324672820707077	0.28713477270685778	1.2823558299988804	0.70863578766140356	-2.1834175404752401	4661.4103827672398	3.0033639994133132	14048.832439154121	1488.7514011021244	588.80998021339144	-0.67107779983842131	-0.081868355117746733	-0.15645430234756733	0	0.070819826103743516	0	0	0	success	non_bfb	success	no_coex_pair	5.7930000000000001	not_set
1	7.3393368303581425	0.28713477270685778	1.2823558299988804	0.71005447792699194	-2.1834175404752401	4661.4103827672398	3.009376740152879	14072.082745382208	1489.6839762991144	589.58609649793391	-0.67289049771586673	-0.081865021257744142	-0.15673901952252256	0	0.070958261518649923	-2.3283064365386963e-09	0	0	success	non_bfb	success	no_coex_pair	5.7140000000000004	not_set
1	7.324672820707077	0.28656107685729365	1.2849231089378172	0.70863578766140356	-2.1877887467624779	4670.742535685692	3.0033639994133132	14089.257663490929	1498.9701925053985	594.17099017494365	-0.67688656407761771	-0.082221764503220274	-0.15760927016928242	0	0.071451301584358043	0	0	0	success	non_bfb	success	no_coex_pair	5.7480000000000002	not_set
1	7.3393368303581425	0.28656107685729365	1.2849231089378172	0.71005447792699194	-2.1877887467624779	4670.742535685692	3.009376740152879	14112.578023628948	1499.8983441527471	594.94783332924726	-0.67872687961468869	-0.082218467197864395	-0.1578959795597529	0	0.071590920055046997	0	0	0	success	non_bfb	success	no_coex_pair	5.5049999999999999	not_set
1	7.324672820707077	0.28713477270685778	1.2849231089378172	0.70863578766140356	-2.1834175404752401	4670.742535685692	3.0033639994133132	14059.620002030255	1492.6994854208338	590.57760875369115	-0.67282780198490966	-0.08194859824492623	-0.15669152084483973	0	0.071041661594200459	0	0	0	success	non_bfb	success	no_coex_pair	5.4089999999999998	not_set
1	7.3393368303581425	0.28713477270685778	1.2849231089378172	0.71005447792699194	-2.1834175404752401	4670.742535685692	3.009376740152879	14082.894874690888	1493.6328132347787	591.35325187607498	-0.67465140982512073	-0.081945313637349221	-0.15697668583219998	0	0.071180420356661195	0	0	0	success	non_bfb	success	no_coex_pair	5.7549999999999999	not_set
1	7.3316830359944323	0.2868398663510125	1.2835713012382721	0.70943829207069875	-2.1854385022071656	4667.2429783412726	3.0069426191949016	14078.105102822121	1493.9427394943243	591.47659128383248	-0.67454470851966097	-0.082031123062376574	-0.15713707339614416	0	0.071162739162084043	0	0	0	success	non_bfb	success	no_coex_pair	5.3369999999999997	not_set
1	7.3313612464562548	0.28683180791994928	1.2835031330081954	0.70953145134719975	-2.1852738607954727	4668.4094974560794	3.0075148686067075	14075.528920369708	1493.5614434602626	591.07658868393275	-0.67419559573207222	-0.082019018237870958	-0.157099831287768	0	0.071120639783986347	0	0	0	success	non_bfb	success	no_coex_pair	5.5419999999999998	not_set
1	7.3310394569180781	0.28682374948888606	1.2834349647781185	0.70962461062370075	-2.1851092193837793	4669.5760165708862	3.0080871180185129	14072.954107892569	1493.1803443851543	590.67681317533425	-0.6738466934556927	-0.082006919892720395	-0.15706260021013987	0	0.071078561267978721	-2.828892320394516e-08	0	0	success	non_bfb	success	no_coex_pair	5.4320000000000004	not_set
1	7.3307176673799006	0.28681569105782284	1.2833667965480418	0.70971776990020186	-2.1849445779720864	4670.742535685692	3.0086593674303184	14070.380664610464	1492.799442149709	590.27726467152115	-0.67349800165875706	-0.08199482802205206	-0.15702538016529999	0	0.071036503610042684	-2.0954757928848267e-09	0	0	success	non_bfb	success	no_coex_pair	5.3499999999999996	not_set
