yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	8.2351224321068148	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906
1	8.235946026709486	1.2943109030752942	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906
1	8.235946026709486	1.2944403471100052	3.7628481106486253	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1881543876034906
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.9453205119100474	-1.58511896923087	41483.05738489384	2.1881543876034906
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.5849604573339469	41483.05738489384	2.1881543876034906
1	8.235946026709486	1.2944403471100052	3.762471863462279	-4.945815093419389	-1.58511896923087	41483.05738489384	2.1879355721647302
1	8.2365577158645529	1.2943938840431997	3.7626005409577115	-4.945830859292534	-1.5851526269779317	41481.471358065428	2.1881765960916026
1	8.2360404635416486	1.2944998029035835	3.7623739357317252	-4.9460360960471066	-1.5850535266565511	41482.921055521241	2.1882814013188332
1	8.2361853623076726	1.2943865124992286	3.7623975790052042	-4.9458550670356001	-1.5851982035391472	41482.140317974554	2.1882924909021324
1	8.2356866164986684	1.2944544624518881	3.762568166629856	-4.945647394493875	-1.5852178086415258	41485.095667826885	2.1882155697559846
