yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
1	0.2061394598313448	0.341679580207815	3.0833466997466124	-1.408279004829568	-1.5476599000512343	12768.777547483274	2.0501578931930924	3583.7312344657489	1960.164263843737	171.61667572843305	-0.11325866867206692	-0.10524248843231561	-0.050237415790986464	0	-0.0018606756012914077	0	0	0	success	ew_sym_res	success	success	173.92400000000001	success	141.15893835529411	2.3910822351845387e-09	-7.0723387271287969e-09	2.9262123563216781e-09	2.3911232992571183e-09	-6.0006834388039113e-11	39.000863852487967	77.13459414363345	4.5933672540881042e-10	success	success	140.98127290174284	2.3910822351845387e-09	-7.0723387271287969e-09	2.9262123563216781e-09	2.3911232992571183e-09	8.2173416745255418e-10	42.026911280293795	82.9945436951011	-1.6882747577986138e-10	success	140.98804857042296	2.3910822351845387e-09	-7.0723387271287969e-09	2.9262123563216781e-09	2.3911232992571183e-09	-4.0422064217786216e-10	41.92962830389979	82.806367162150792	3.568210135648805e-10	success	140.948807415734	2.3910822351845387e-09	-7.0723387271287969e-09	2.9262123563216781e-09	2.3911232992571183e-09	-1.4277560381630086e-10	42.479152421083036	83.869151572202753	-5.3726596450147547e-10	success	140.94576569585479	2.3910822351845387e-09	-7.0723387271287969e-09	2.9262123563216781e-09	2.3911232992571183e-09	1.5890074478206153e-10	42.52039942256765	83.948907197496311	-3.4785243148413569e-10	success	140.94880815424534	140.94880815424534	0.94999999999999996	0.00097633061271051673	117229.01691513041	0	0.0012057457571856842	0.10000000000000001	0.57692090223045811	0.54656591689826539	0.30365642248856201	0	0.13555550189915677	0.79800971334717929	1.6590011170472181e-24	7.7961077953399155e-05	1.4911105208907245	9.2218758336689261e-31	0	8.2145615633325001e-16	1.6550032074528769e-19	8.2154431246781501e-16	0-(0)->1
1	7.64737458585872	5.864282954285531	0.1819283837934276	-1.2807099270666342	-5.472309639517007	334213.9753273878	1.3332958830749126	-28506.253619366526	16094.122094244358	109696.00874689934	-8.9177652368952565	-4.1649185024141886	-2.6251493105624486	0	1.6970635153874702	-1.4901161193847656e-08	-1.1175870895385742e-08	0	success	non_bfb	success	no_coex_pair	17.370999999999999	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	7.332497640334102	0.0913346076060505	1.9953662974249469	2.660426778906303	-3.668375027787441	31581.06655702432	2.647563416752724	48122.086847345847	10240.214401864039	9862.3434433874627	-5.6373096129250762	-0.47417308322443391	-1.1996541948340824	0	0.95824773754303738	1.6298145055770874e-09	0	0	success	non_bfb	success	no_coex_pair	9.1899999999999995	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
1	0.63815745742787211	0.26714521892069915	1.1630217660168884	-0.81212215101258989	-0.22898431211625675	2620.3003015027266	7.9977171321128102	1624.1155364172037	-549.40479844230072	83.219205869671725	-0.9014359654567704	-0.020331489029229557	0.0090410261325399432	0	0.013419919052483315	0	0	0	success	ew_sym_res	success	success	78.701999999999998	success	153.30321827682073	6.3425167369700259e-09	2.6828889041248363e-09	5.2107622247799288e-09	6.342540601072994e-09	-1.320006862481919e-08	2.7254354825290497	21.541432480679607	-9.9079214420970708e-10	success	success	153.29498012764526	6.3425167369700259e-09	2.6828889041248363e-09	5.2107622247799288e-09	6.342540601072994e-09	-2.0933049119356788e-08	2.8355095478627783	22.409943630703104	-3.1029047999648066e-08	success	153.29526100949732	6.3425167369700259e-09	2.6828889041248363e-09	5.2107622247799288e-09	6.342540601072994e-09	4.5845912038379656e-09	2.8320961336676787	22.383012248247145	5.7260199944156285e-09	success	153.29285753987568	6.3425167369700259e-09	2.6828889041248363e-09	5.2107622247799288e-09	6.342540601072994e-09	1.6956128262012759e-08	2.8614661044795202	22.614730309581546	2.5281553444399893e-08	success	153.29269686474464	6.3425167369700259e-09	2.6828889041248363e-09	5.2107622247799288e-09	6.342540601072994e-09	-1.7321007580428592e-08	2.8633887879510787	22.629899294713663	2.1170275412236882e-08	success	153.29285753987568	153.29285753987568	0.94999999999999996	4.9750586195847922e-05	2406915.2176853949	0	6.6126754121107815e-05	0.10000000000000001	0.57703991577440428	0.55530336616675324	6.7830141340798944	0	3.0399409258836978	18.292174495777587	5.7815854706752637e-31	9.2467328555388809e-05	33.439350184720674	1.6970483931507783e-38	0	2.5537607874822497e-26	1.3580914219089373e-28	2.5608440100598501e-26	0-(0)->1
1	0.57015242069861138	0.26589117871213447	1.1798164999171878	-0.80361146273074557	-0.24474267111474604	2451.8427588932536	8.2152869738624137	1560.7894791669905	-542.52679749057177	81.217731216666564	-0.95000953648956388	-0.02005916955572418	0.0093336834533053591	0	0.013223908150857324	0	0	0	no_nlo_stability	not_set	not_set	not_set	0.33600000000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	not_set
