yuktype	L1	L2	L3	L4	L5	m12sq	tbeta	Dm11sq	Dm22sq	Dm12sq	DL1	DL2	DL3	DL4	DL5	DT1	DT2	DT3	status_nlo_stability	status_ewsr	status_tracing	status_coex_pairs	runtime	status_crit_0	T_crit_0	omega_CB_crit_false_0	omega_1_crit_false_0	omega_2_crit_false_0	omega_CP_crit_false_0	omega_CB_crit_true_0	omega_1_crit_true_0	omega_2_crit_true_0	omega_CP_crit_true_0	status_bounce_sol_0	status_nucl_approx_0	T_nucl_approx_0	omega_CB_nucl_approx_false_0	omega_1_nucl_approx_false_0	omega_2_nucl_approx_false_0	omega_CP_nucl_approx_false_0	omega_CB_nucl_approx_true_0	omega_1_nucl_approx_true_0	omega_2_nucl_approx_true_0	omega_CP_nucl_approx_true_0	status_nucl_0	T_nucl_0	omega_CB_nucl_false_0	omega_1_nucl_false_0	omega_2_nucl_false_0	omega_CP_nucl_false_0	omega_CB_nucl_true_0	omega_1_nucl_true_0	omega_2_nucl_true_0	omega_CP_nucl_true_0	status_perc_0	T_perc_0	omega_CB_perc_false_0	omega_1_perc_false_0	omega_2_perc_false_0	omega_CP_perc_false_0	omega_CB_perc_true_0	omega_1_perc_true_0	omega_2_perc_true_0	omega_CP_perc_true_0	status_compl_0	T_compl_0	omega_CB_compl_false_0	omega_1_compl_false_0	omega_2_compl_false_0	omega_CP_compl_false_0	omega_CB_compl_true_0	omega_1_compl_true_0	omega_2_compl_true_0	omega_CP_compl_true_0	status_gw_0	T_star_0	T_reh_0	v_wall_0	alpha_PT_0	beta/H_0	kappa_col_0	kappa_sw_0	eps_turb_0	cs_f_0	cs_t_0	fb_col_0	h2Omegab_col_0	f_1_sw_0	f_2_sw_0	h2Omega_2_sw_0	f_1_turb_0	f_2_turb_0	h2Omega_2_turb_0	SNR(LISA-3yrs)_col_0	SNR(LISA-3yrs)_sw_0	SNR(LISA-3yrs)_turb_0	SNR(LISA-3yrs)_0	transition_history
2	4.129206116281388	0.2742677109366825	1.3897843033021982	-1.1751122998933	-0.2035991196339245	2476.709885158204	3.5770299049491143	4566.7800978218665	-526.37832826343811	415.94063669839323	0.05302834635407451	-0.025013376997459206	0.024219462277949362	0	0.025653878075890247	0	0	0	success	ew_sym_res	success	success	133.94	success	162.75000504292299	3.0683105612820623e-09	2.3892513837758524e-07	4.3326478350713582e-07	-2.3676624305586984e-09	3.9247333315068204e-09	10.036705247845511	18.624165972568875	-1.6967993112483436e-09	success	success	162.73961617093238	3.0683105612820623e-09	2.3892513837758524e-07	4.3326478350713582e-07	-2.3676624305586984e-09	3.4634450712306812e-09	10.412576621780001	19.340169029863507	1.7227585506366322e-09	success	162.73996101905544	3.0683105612820623e-09	2.3892513837758524e-07	4.3326478350713582e-07	-2.3676624305586984e-09	9.377222652022646e-09	10.400920085686865	19.317929635780644	5.1654286076257727e-09	success	162.73698586241557	3.0683105612820623e-09	2.3892513837758524e-07	4.3326478350713582e-07	-2.3676624305586984e-09	3.5272015364647043e-09	10.499889682805085	19.506825065254937	-8.4303802989707496e-09	success	162.7367860944926	3.0683105612820623e-09	2.3892513837758524e-07	4.3326478350713582e-07	-2.3676624305586984e-09	2.1886565746267744e-10	10.50650003942334	19.51944686858084	-1.2904854418658785e-09	success	162.73698586551629	162.73698586551629	0.94999999999999996	3.4500331669345842e-05	2054434.5989805579	0	5.4931799688808337e-05	0.10000000000000001	0.57743578112384664	0.57741548192105407	6.1477264561179403	0	2.7571513871139341	17.575165436713355	1.5081370833376412e-31	6.3653594855083196e-05	30.328665258253277	3.505164501947731e-39	0	1.8499006445243865e-26	6.8081355641521316e-29	1.8534474801195924e-26	0-(0)->1
3	4.129206116281388	0.2742677109366825	1.3897843033021982	-1.1751122998933	-0.2035991196339245	2476.709885158204	3.5770299049491143	4609.2108445875501	-523.06375158357923	427.79980917213828	0.043411534324085031	-0.025072558773906416	0.024219462277949369	0	0.026408297040342504	0	0	0	success	ew_sym_res	success	success	129.61799999999999	success	162.7481563520366	-4.0936763620837473e-21	3.4656170224870198e-07	6.2712294801521051e-07	-1.5182724184138865e-09	1.5105172416326258e-09	10.049834064387552	18.578253083230592	-4.0742627402295138e-10	success	success	162.73777200709685	-4.0936763620837473e-21	3.4656170224870198e-07	6.2712294801521051e-07	-1.5182724184138865e-09	-4.43604434525322e-09	10.425743046046374	19.291610674899356	2.0298297133921121e-09	success	162.73811641772488	-4.0936763620837473e-21	3.4656170224870198e-07	6.2712294801521051e-07	-1.5182724184138865e-09	1.5100297626226979e-09	10.414091205693039	19.269464655556167	2.2046258067061252e-09	success	162.73514469885825	-4.0936763620837473e-21	3.4656170224870198e-07	6.2712294801521051e-07	-1.5182724184138865e-09	7.8626637032833307e-09	10.513167413391862	19.457844448900325	-5.1750881047594599e-09	success	162.73494514847667	-4.0936763620837473e-21	3.4656170224870198e-07	6.2712294801521051e-07	-1.5182724184138865e-09	7.239273582883948e-09	10.519685050838049	19.470242664597656	-8.3155863667529149e-09	success	162.7351446447436	162.7351446447436	0.94999999999999996	3.4324295588800099e-05	2056716.6084562782	0	5.4651573998655243e-05	0.10000000000000001	0.57743577510729882	0.5774155805035972	6.1544853162093061	0	2.759706825867843	17.591459461174296	1.4818294803843237e-31	6.3387542375093806e-05	30.356775084546275	3.4277447918495893e-39	0	1.8125866245558668e-26	6.6515971090221933e-29	1.8160518820658521e-26	0-(0)->1
4	4.129206116281388	0.2742677109366825	1.3897843033021982	-1.1751122998933	-0.2035991196339245	2476.709885158204	3.5770299049491143	4566.7801552732108	-526.37833275352978	415.94063669839272	0.053028604232029847	-0.025013378572616488	0.024219462277949352	0	0.025653878075890247	0	0	0	success	ew_sym_res	success	success	135.91200000000001	success	162.75608954992492	-7.5406377935572925e-10	1.5614652739428619e-07	2.4171301616810456e-08	-7.5406377935557467e-10	7.1750422971975253e-09	10.034500889013438	18.609694633156305	4.7543560890882239e-09	success	success	162.74570632974468	-7.5406377935572925e-10	1.5614652739428619e-07	2.4171301616810456e-08	-7.5406377935557467e-10	-5.1279511097689358e-09	10.41000726664956	19.324615456387825	-7.1519524868021388e-09	success	162.74605081244829	-7.5406377935572925e-10	1.5614652739428619e-07	2.4171301616810456e-08	-7.5406377935557467e-10	-3.5157411744874992e-09	10.398359155560359	19.302404232088108	1.2592366173108446e-09	success	162.7430785450139	-7.5406377935572925e-10	1.5614652739428619e-07	2.4171301616810456e-08	-7.5406377935557467e-10	2.456144451050638e-09	10.497261698278987	19.491069032364003	8.1172956775298562e-09	success	162.7428788570856	-7.5406377935572925e-10	1.5614652739428619e-07	2.4171301616810456e-08	-7.5406377935557467e-10	-6.8041226095152111e-09	10.503873585029877	19.503686877436873	-3.4904604713628729e-09	success	162.74307841276385	162.74307841276385	0.94999999999999996	3.4440501307272185e-05	2056445.4122533118	0	5.4836557982417779e-05	0.10000000000000001	0.57743577946703717	0.57741551562797155	6.1539748016030043	0	2.7598977479950335	17.592673410799442	1.4973280543105847e-31	6.3606515510656e-05	30.358875227945369	3.4742520461612677e-39	0	1.8311648965183891e-26	6.7413788285066882e-29	1.8346769561572403e-26	0-(0)->1
2	3.2704276680046056	0.2784151675712925	4.960083485128226	-2.771646857450327	-2.1800793240036285	5246.952098696713	3.962933872374241	11280.882844947584	5652.1737750008006	-310.54808973055714	-0.050032280238536959	-0.24352709164299444	-0.34922079097776915	0	-0.03055009274399809	0	0	0	success	non_bfb	success	success	168.21799999999999	success	145.92771133980747	0	0	0	0	8.7922983703350511e-10	53.355741395263358	187.58889469189251	-1.5484727869052023e-09	success	success	139.329146405053	0	0	0	0	-7.6262637530796706e-10	56.368986475026915	200.29155746847351	-8.0491037410441536e-11	success	139.58319712744759	0	0	0	0	-1.6987976831387074e-10	56.28142479991228	199.89337421787647	-8.703741539864355e-10	success	138.68575370053836	0	0	0	0	1.2291872589074213e-10	56.583524949331675	201.27649854373826	5.2946856490102872e-10	success	138.59279775592759	0	0	0	0	-5.4992206669128398e-12	56.613697585539619	201.41611508747613	1.5490427955438516e-09	success	138.68575450779315	138.68575450779315	0.94999999999999996	0.0037659140175370421	3780.3531641419077	0	0.0058853472472635473	0.10000000000000001	0.57748775251669138	0.57592681503831467	0.0096342822007724482	0	0.0042915902889452623	0.027247413998116365	4.1970046681184788e-20	1.0694723077317878e-05	0.047207493178397883	1.4263961591919427e-25	0	2.7518300367831928e-07	1.757986387451014e-12	2.7518462379661532e-07	0-(0)->1
3	3.2704276680046056	0.2784151675712925	4.960083485128226	-2.771646857450327	-2.1800793240036285	5246.952098696713	3.962933872374241	11332.263178284078	5655.4438356208157	-297.58595972533902	-0.064133725043814829	-0.24358469442561684	-0.34922079097776909	0	-0.029648819304834862	0	0	0	success	non_bfb	success	success	168.232	success	145.77588183938411	0	0	0	0	1.1637161295027409e-10	53.47501356299388	187.62003975150077	2.4018062095738273e-10	success	success	139.16712133784179	0	0	0	0	-1.284637607683314e-10	56.480072448473422	200.32794424768446	7.6692558678573491e-12	success	139.42165852459075	0	0	0	0	1.4473175910779685e-10	56.392831267362247	199.92945384543151	-5.2956229773404458e-10	success	138.52335536447885	0	0	0	0	-1.3418851830650707e-09	56.693509420228281	201.31234640579112	2.1094032153787807e-10	success	138.43028161226914	0	0	0	0	3.9381089346610058e-10	56.723544142631042	201.45198430812917	-3.6588540288752528e-10	success	138.52335452733146	138.52335452733146	0.94999999999999996	0.0037863559356964907	3771.3176313094218	0	0.0059167264332210456	0.10000000000000001	0.577486512293234	0.5759193840364909	0.0095999509307095939	0	0.004276303745564993	0.027149820018227248	4.2895237453622387e-20	1.071385169642279e-05	0.047039341201214932	1.4642831028608334e-25	0	2.8306941788659151e-07	1.8109661720471212e-12	2.8307108758377059e-07	0-(0)->1
4	3.2704276680046056	0.2784151675712925	4.960083485128226	-2.771646857450327	-2.1800793240036285	5246.952098696713	3.962933872374241	11280.882914516696	5652.173770571012	-310.54808973055736	-0.050031902103689289	-0.24352709317612584	-0.34922079097776909	0	-0.030550092743998111	0	0	0	success	non_bfb	success	success	165.40799999999999	success	145.92855271094606	0	0	0	0	4.5698014779468314e-10	53.361665451452438	187.58843458653396	6.7339909450510898e-10	success	success	139.32958432773714	0	0	0	0	-2.2410169402876057e-10	56.37443794607519	200.2912158735686	-5.996564749416394e-10	success	139.58365312239897	0	0	0	0	1.5969502515932441e-10	56.286894146396143	199.89302243679418	-7.9904732084893867e-10	success	138.68616424535628	0	0	0	0	-4.3927075407070526e-10	56.588924906305856	201.27615472302392	-5.5965415492400364e-10	success	138.59319875941605	0	0	0	0	1.3522120133732265e-09	56.619091929566217	201.41577944293581	5.0827338660588537e-10	success	138.68616440681586	138.68616440681586	0.94999999999999996	0.0037658645125857762	3780.1361130310602	0	0.0058852725041016211	0.10000000000000001	0.57748775219587123	0.5759268594542839	0.0096337576414258063	0	0.0042913148367578193	0.02724566838033712	4.1972989056394328e-20	1.0693898713169291e-05	0.047204463204336009	1.4265141144008191e-25	0	2.7523411840438054e-07	1.7582417288992252e-12	2.7523573877117418e-07	0-(0)->1
