group	row	yuktype	L1	m12sq	status_flip	history_flip	status_gw_v314	status_gw_current	alpha_rel_pct	betaH_rel_pct	snr_rel_pct	snr_v314	snr_current	runtime_v314_s	runtime_current_s
nlo_boundary	1	1	1.2366017806453666	4102.7266764660908	0	0	success	success	10.4395751128	0.504595969157	58.9834121661	1.0619410301799359e-26	1.6883100849718195e-26	71.197999999999993	138.56899999999999
nlo_boundary	2	1	0.96458163372832362	3428.896506028198	0	0	success	success	12.488890496	0.297462819527	69.2753052057	1.3334155880403205e-26	2.2571433063155727e-26	64.182000000000002	96.573999999999998
nlo_boundary	3	1	0.69256148681128071	2755.0663355903052	0	0	not_set	not_set	nan	nan	nan	nan	nan	402.923	455.303
nlo_boundary	4	1	0.55655141335275926	2418.1512503713589	0	0	nan	nan	nan	nan	nan	nan	nan	0.376	0.31900000000000001
nlo_boundary	5	1	0.4205413398942377	2081.2361651524125	0	0	success	success	18.2951282731	-2.41533979604	108.939518297	5.8985143775352912e-26	1.2324327527130112e-25	91.512	148.864
nlo_boundary	6	1	0.28453126643571625	1744.3210799334661	0	0	success	success	20.2091938981	0.532084312592	114.168252619	1.4151101747383292e-25	3.0307167338679897e-25	66.468999999999994	147.011
nlo_boundary	7	1	0.21652622970645563	1575.8635373239931	0	0	success	success	21.2641926049	-0.342710630101	129.473799251	2.5031024725670404e-25	5.7439643429518696e-25	74.816000000000003	153.32400000000001
yukawa_families_2_3	1	2	4.129206116281388	2476.709885158204	0	0	success	success	-5.43332705098	0.422137713283	-8.33788114233	2.022043024117375e-26	1.8534474801195924e-26	73.293000000000006	133.94
yukawa_families_2_3	2	3	4.129206116281388	2476.709885158204	0	0	success	success	-5.33306772614	0.411194928923	-7.98741074297	1.9736993565009379e-26	1.8160518820658521e-26	71.713999999999999	129.61799999999999
yukawa_families_2_3	3	4	4.129206116281388	2476.709885158204	0	0	success	success	-5.43772835091	0.423170203567	-8.30655918499	2.0008813496907549e-26	1.8346769561572403e-26	75.594999999999999	135.91200000000001
yukawa_families_2_3	4	2	3.2704276680046056	5246.952098696713	0	0	success	success	-28.5702786035	-0.00243732127923	-66.116366076	8.1214613643187858e-07	2.7518462379661532e-07	171.11699999999999	168.21799999999999
yukawa_families_2_3	5	3	3.2704276680046056	5246.952098696713	0	0	success	success	-28.4017155503	-0.00626879963036	-65.8452996331	8.2879101424728992e-07	2.8307108758377059e-07	167.04400000000001	168.232
yukawa_families_2_3	6	4	3.2704276680046056	5246.952098696713	0	0	success	success	-28.5707260493	-0.00437039448304	-66.1149385368	8.1226276974537807e-07	2.7523573877117418e-07	177.33500000000001	165.40799999999999
